Label,Invariant,,Type,,,,,
,Nodes,Signature,ITR REL,DEC TREE,COMMON,FULL,Support,UnderApp Box
0,"0,1,2,3,4,5,6,7,8,9,10,15,16,12,19,10,11,13,14","0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,1,1,0",NA,SAT,SAT,UNSAT,,
0,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17","0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,1",UNSAT,,,,,"https://github.com/hayesconverse/sym_convnn/blob/master/MNIST_ITR_REL/Safe%20Region%20Input%20Groups/label0/inp0_ub_Low.png,
https://github.com/hayesconverse/sym_convnn/blob/master/MNIST_ITR_REL/Safe%20Region%20Input%20Groups/label0/inp0_ub_High.png
"
0,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19","1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1",UNSAT,,,,,
1,"0,1,2,3,4,5,6,7,8,9,
13,18,16,10,15","1,1,0,0,1,1,0,0,0,1,0,0,0,0,0",NA,NA,NA,UNSAT,,
1,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15","0,1,1,0,1,0,0,0,0,0,0,1,0,0,1",UNSAT,,,,,"https://github.com/hayesconverse/sym_convnn/blob/master/MNIST_ITR_REL/Safe%20Region%20Input%20Groups/label1/UnderApproxBox_Low.png,
https://github.com/hayesconverse/sym_convnn/blob/master/MNIST_ITR_REL/Safe%20Region%20Input%20Groups/label1/HighApproxBox_High.png
"
1,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,35","1,1,0,1,1,0,0,0,0,1,
0,0,0,0,0,0,0,1,0,0,
0,1,1,0,0,0,1,1,0,0,
0",UNSAT,,,,,"https://github.com/hayesconverse/sym_convnn/blob/master/MNIST_ITR_REL/Safe%20Region%20Input%20Groups/label1/inp1_1_ub_MIN.png,
https://github.com/hayesconverse/sym_convnn/blob/master/MNIST_ITR_REL/Safe%20Region%20Input%20Groups/label1/inp1_1_ub_MAX.png
"
2,"0,1,2,3,4,5,6,7,8,9,14,15,19,12,13,18","0,1,0,0,0,1,0,0,0,1, 0,1,0,1,1,0",SAT,SAT,UNSAT`,UNSAT,,
2,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20","1,1,0,0,0,1,0,0,0,1,
1,1,1,1,0,1,1,1,0,1,
0",UNSAT,,,,,
2,"0,1,2,3,4,5,6,7,8,9,10","0,1,0,0,0,1,0,1,1,1,1",UNSAT,,,,,
3,"0,1,2,3,4,5,6,7,8,9,10,
11,12,13,14,15,16,17,18,19,
20,21,22,23,24,25,26,27,28,29,
35","1,1,1,0,1,1,0,0,0,1,
0,1,1,0,0,0,0,1,1,0,
1,1,0,0,1,0,0,1,0,1,
1
",UNSAT,,,,,"https://github.com/hayesconverse/sym_convnn/blob/master/MNIST_ITR_REL/Safe%20Region%20Input%20Groups/label3/UnderApprox_Low.png,
https://github.com/hayesconverse/sym_convnn/blob/master/MNIST_ITR_REL/Safe%20Region%20Input%20Groups/label3/UnderApprox_High.png
"
3,"0,1,2,3,4,5,6,7,8,9,10,
11,12,13,14,15,16,17,18,19,
23","1,1,1,1,0,1,0,1,0,1
0,1,1,0,0,0,1,1,1,0
0",UNSAT,,,,,
4,"0,1,2,3,4,5,6,7,8,9,10,
11,12,13,14,15,16,17,18,19,
20","1,0,0,1,0,0,0,0,1,0
0,1,0,0,1,1,0,0,1,0,
0",UNSAT,,,,,
4,"0,1,2,3,4,5,6,7,8,9,10,
11,12,13,14,15,16,17,18,19,
24","0,0,0,0,1,1,0,0,1,0
0,1,1,1,0,0,1,1,0,0,
0",UNSAT,,,,,
5,"0,1,2,3,4,5,6,7,8,9,
10,11,12,13,14,15,16,17,18,19
20,21,222,23,24,25,26,27,28,29
30,31,32,33,34,35,36,37,38,39,
40,41,42,43,44,45,46,47,484,49
50,51","0,1,1,0,1,1,0,0,1,1,
1,1,0,1,0,0,1,1,1,1,
1,1,0,1,1,0,0,0,0,0,
0,0,0,0,0,1,1,1,1,1,
1,0,1,1,0,0,0,0,1,0,
0,0,",UNSAT,SAT,SAT,SAT,,
5,"0,1,2,3,4,5,6,7,8,9,
10,11,12,13,14,15,16,17,18,19
20,21,222,23,24,25,26,27,28,29
30,31,32,33,34,35,36,37,38,39,
42,","1,1,1,0,1,1,0,0,0,1,
1,1,0,0,0,0,0,1,0,0,
1,1,0,1,1,0,0,0,0,0,
0,0,0,0,0,0,1,1,1,1,
1",UNSAT,SAT,SAT,SAT,,
6,"0,1,2,3,4,5,6,7,8,9,15,10","0,0,0,0,0,0,0,0,0,1,1,0",NA,UNSAT,,,,
6,"0,1,2,3,4,5,6,7,8,9,10","0,0,0,0,0,0,0,0,0,0,0",UNSAT,,,,,
8,"0,1,2,3,4,5,6,7,8,9,12,14,10,18,15","1,0,0,0,0,1,0,0,0,1,0,0,0,1,0",UNSAT,,,,,
8,"0,1,2,3,4,5,6,7,8,9,
10,11,12,13,14,15,16,17,18,19
20,21,22,23,24,25,26,27,28,29
30,31,32,33,34,35,36,37,38,39
40,41,42,43,44,45,46,47,48.49
50,51,52,53,54,55","1,1,0,1,1,0,0,0,0,1,
0,1,0,0,0,0,1,1,1,1,
1,1,0,0,0,0,0,1,0,0,
0,0,0,0,0,0,1,1,1,1,
1,0,0,1,0,0,0,0,1,0,
1,1,0,0,1,1,",NA,UNSAT,,,,
9,"0,1,2,3,4,5,6,7,8,9,
10,11,12,13,14,15,16,17,18,19,
20,21,22,23,24,25,26,27,28,29
30,31,32","1,0,0,1,0,0,1,0,1,1,
0,1,0,0,1,0,0,0,1,0,
1,1,0,1,1,0,1,1,0,1,
0,1,0,",UNSAT,,,,,
9,"0,1,2,3,4,5,6,7,8,9,
10,11,12,13,14,15,16,17,18,19,
20,21,22,23,24,25,26,27,28,29
30,31,32,33,34,35,36,37,38,39
40,41,42,43,44,45,46,47,48,49
50,51,52,53,54,55,56,57,58,59
60,61,62,63,64,65,66,67,68,69
70,71,72,73,74,75,76,77,78,79
80,81,82,83,84,85,86,87,88,89","1,0,1,1,0,0,1,0,1,1,
0,1,0,0,0,0,0,1,1,1,
1,1,0,1,1,0,1,1,0,1,
0,1,0,0,0,0,0,1,1,1,
1,0,1,1,0,1,0,1,0,0,
0,0,1,1,0,0,1,1,1,0,
1,1,1,1,1,1,0,0,0,1,
1,1,0,1,1,0,0,1,1,0,
1,0,0,1,0,0,0,1,1,1,",UNSAT,,,,,"https://github.com/hayesconverse/sym_convnn/blob/master/MNIST_ITR_REL/Safe%20Region%20Input%20Groups/label9/ub9_0_Low.png,
https://github.com/hayesconverse/sym_convnn/blob/master/MNIST_ITR_REL/Safe%20Region%20Input%20Groups/label9/ub9_0_High.png
"
9,"0,1,2,3,4,5,6,7,8,9,
10,11,12,13,14,15,16,17,18,19,
20,21,22,23,24,25,26,27,28,29
30,31,32,33,34,35,36,37,38,39
40,41,42,43,44,45,46,47,48,49
50,51,52,53,54,55,56,57,58,59
60,61,62,63,64,65,66,67,68,69
70,71,72,73,74,75,76,77,78,79
80,81,82,83,84,85,86,87,88,89
90,91,92,93,94,95,96,97,98,99","1,0,1,1,0,1,1,0,1,1,
0,1,0,1,0,0,0,1,1,0,
1,1,0,1,1,0,1,1,0,1,
0,1,0,0,0,1,0,1,1,1,
0,0,1,1,0,1,0,1,0,0,
0,0,1,1,0,0,1,0,1,0,
1,1,1,1,1,1,0,0,0,1,
1,1,0,0,1,0,0,1,1,0,
1,0,0,1,0,0,0,1,1,1,
1,1,0,0,1,0,0,1,1,0,",UNSAT,,,,,
